id,name
6458,Хмельницького Б.
12444,Молдавська
12445,Стрийська
12446,Наукова
12447,Симоненка В.
12448,Кульпарківська
12449,Київська
12450,Глибока
12453,Княгині Ольги
12454,Левинського І.
12456,Новий Світ
12457,Рубчака І.
12458,Японська
12460,Балтійська
12461,Куликівська
12462,Боберського І.
12464,Горської А.
12465,Бойківська
12466,Бандери С.
12467,Опільського Ю.
12469,Проста
12470,Коновальця Є.
12471,Мельника А.
12472,Старицького М.
12473,Кастелівка
12474,Моршинська
12475,Природна
12476,Горбачевського І.
12477,Сонячна
12479,Метрологічна
12480,Політехнічна
12481,Захарієвича Ю.
12483,Богуна І.
12484,Гіпсова
12486,Зигзаг
12487,Рівна
12489,Романицького Б.
12491,Виноградна
12492,Труша І.
12493,Музики Я.
12494,Холодноярська
12495,Цегельського Л.
12496,Кишинівська
12497,Бойчука М.
12499,Маївського Д.
12500,Шкрібляків
12501,Грабянки Г.
12502,Молдавська Бічна
12505,Перемиська
12506,Урожайна
12508,Гайворонського М.
12509,Квітнева
12510,Керамічна
12514,Сарненська
12515,Мила
12516,Нагірних
12517,Бенцаля М.
12519,Сімовича В.
12520,Воля
12521,Конотопська
12522,Кондукторська
12523,Сметани Б.
12524,Повстанська
12525,Спокійна
12527,Веделя А.
12529,Тролейбусна
12530,Пулюя І.
12531,Перфецького Л.
12532,Сокільницька
12533,Трускавецька
12534,Янева В.
12535,Аркаса М.
12536,Білинського М.
12537,Ревуцького Л.
12539,Околична
12540,Героїв Майдану
12542,Похила
12544,Остроградських
12548,Сміливих
12549,Піддубного І.
12550,Відкрита
12551,Федьковича Ю.
12554,Русових
12556,Житомирська
12557,Художня
12558,Сельських
12559,Залізняка М.
12560,Васильківського С.
12561,Антоновича В.
12562,Зерова М.
12564,Городоцька
12565,Скісна
12567,Тобілевича І.
12568,Смаль-Стоцького С.
12569,Героїв УПА
12570,Ліська
12573,Пастернака Я.
12574,Драй-Хмари М.
12575,Гординських
12576,Паращука М.
12577,Окружна
12578,Кравченко У.
12579,Народна
12580,Сулими І.
12581,Терлецького О.
12582,Пташина
12583,Канівська
12585,Робітнича
12587,Поперечна
12589,Порохова
12590,Кременецька
12591,Суха
12593,Любінська
12594,Барвінок Г.
12595,Комаринця
12704,Замкова
12706,Грабовського П.
12710,Банківська
12712,Дорошенка П.
12713,Словацького Ю.
12714,Кривоноса М.
12715,Кримська
12717,Беринди П.
12722,Краківська
12723,Жижки Яна
12724,Лесі Українки
12726,Костюшка Т.
12728,Січових Стрільців
12732,Менцинського М.
12733,Тиктора І.
12735,Курбаса Л.
12736,Гребінки Є.
12737,Шопена Ф.
12738,Щепкіна М.
12739,Лепкого Б.
12741,Листопадового Чину
12742,Франка І.
12744,Архипенка О.
12745,Руставелі Ш.
12746,Самчука У.
12747,Літня
12749,Дзиндри Є.
12750,Рутковича І.
12751,Паркова
12752,Тютюнників
12753,Людкевича С.
12755,Дібровна
12757,Снопківська
12758,Севери І.
12759,Свєнціцького І.
12760,Мушака Ю.
12762,Кубанська
12764,Скельна
12765,Зарицьких
12766,Вітовського Д.
12768,Турецька
12769,Грецька
12771,Кирила і Мефодія
12774,Вічева
12775,Грушевського М.
12776,Драгоманова М.
12777,Глібова Л.
12779,Мартовича Л.
12780,Григоровича І.
12782,Волошина А.
12783,Шевченка Т.
12784,Саксаганського П.
12785,Стецька Я.
12787,Фредра О.
12788,Князя Романа
12789,Митрополита Андрея
12790,Нижанківського О.
12791,Галицька
12793,Вороного М.
12794,Руданського С.
12795,Ліста Ф.
12796,Замарстинівська
12799,Тиха
12800,Томашівського С.
12801,Дудаєва Дж.
12802,Каліча Гора
12803,Стефаника В.
12804,Фурманська
12806,Мулярська
12807,Валова
12810,Шевська
12812,Театральна
12813,Вірменська
12814,Друкарська
12815,Староєврейська
12816,Ставропігійська
12817,Федорова І.
12818,Сербська
12819,Руська
12820,Підвальна
12821,Арсенальська
12822,Болгарська
12823,Винниченка В.
12826,Личаківська
12827,Довбуша О.
12829,Гуцульська
12831,Просвіти
12832,Кольберга
12833,Вербицького М.
12834,Газова
12836,Цехова
12837,Данилишина Д.
12838,Шпитальна
12839,Торгова
12841,Вагова
12843,Стара
12844,Лазнева
12845,Староміська
12847,Зернова
12848,Сянська
12850,Весела
12851,Підмурна
12853,Котлярська
12854,Куліша П.
12855,Медова
12857,Раппапорта Я.
12858,Джерельна
12859,Під Дубом
12862,Біласа В.
12863,Татарська
12864,Папарівка
12865,Рибна
12867,Княжа
12868,Пильникарська
12869,Мосяжна
12870,Князя Лева
12871,Чорноморська
12872,Смерекова
12874,Ужгородська
12875,Підгірна
12876,Спадиста
12877,Сходова
12878,Насипна
12879,Піша
12881,Гонти І.
12882,Сніжна
12883,Балабана М.
12885,Каменярів
12888,Технічна
12889,Новаківського О.
12890,Матейка Я.
12891,Архітекторська
12893,Війтовича П.
12894,Шептицьких
12896,Меретина Б.
12897,Озаркевича Є.
12898,Замкнена
12901,Ярослава Мудрого
12902,Наливайка С.
12903,Мурави М.
12905,Стуса В.
12906,Зелена
12907,Золота
12908,Хорватська
12909,Пстрака Я.
12910,Хімічна
12911,Грінченка Б.
12913,Миколайчука І.
12914,Варшавська
12915,Панча П.
12916,Міртова
12917,Шполянська
12918,Уманська
12919,Плющова
12920,Хвильового М.
12921,Хмільова
12922,Жовківська
12924,Гайдамацька
12926,Януша Б.
12928,Бетховена Л.
12929,Донецька
12930,Промислова
12931,Остряниці Я.
12932,Скидана К.
12933,Шкільна
12934,Огіркова
12935,Підзамче
12936,Стрімка
12937,Караїмська
12938,Волинська
12939,Збоїща
12940,Космічна
12941,Рубінова
12942,Степового Я.
12943,Купальська
12944,Ільмова
12945,Колоскова
12946,Чигиринська
12947,Творча
12949,Очаківська
12950,Заміська
12951,Кущова
